date,game_no,team_a,team_b,team_a_score,team_b_score,winner,result_type,note
2026-01-21,1,화이트,블랙,52,45,화이트,NORMAL,
2026-01-21,2,블랙,컬러,43,40,블랙,NORMAL,
2026-01-21,3,화이트,컬러,56,45,화이트,NORMAL,
2026-01-28,1,화이트,블랙,55,49,화이트,NORMAL,
2026-01-28,2,블랙,컬러,50,44,블랙,NORMAL,
2026-01-28,3,화이트,컬러,49,44,화이트,NORMAL,
2026-02-05,1,화이트,블랙,35,44,블랙,NORMAL,
2026-02-05,2,블랙,컬러,21,24,컬러,NORMAL,
2026-02-05,3,화이트,컬러,32,19,화이트,NORMAL,
2026-02-11,1,화이트,블랙,29,40,블랙,NORMAL,
2026-02-11,2,블랙,컬러,30,40,컬러,NORMAL,
2026-02-11,3,화이트,컬러,39,51,컬러,NORMAL,
2026-02-26,1,화이트,블랙,47,42,화이트,NORMAL,
2026-02-26,2,블랙,컬러,34,42,컬러,NORMAL,
2026-02-26,3,화이트,컬러,34,44,컬러,NORMAL,
2026-03-05,1,화이트,블랙,37,44,블랙,NORMAL,
2026-03-05,2,블랙,컬러,28,35,컬러,NORMAL,
2026-03-05,3,화이트,컬러,37,45,컬러,NORMAL,
2026-03-11,1,화이트,블랙,38,40,블랙,NORMAL,
2026-03-11,2,블랙,컬러,53,57,컬러,NORMAL,
2026-03-11,3,화이트,컬러,27,34,컬러,NORMAL,
2026-03-18,1,화이트,블랙,37,36,화이트,NORMAL,
2026-03-18,2,블랙,컬러,36,33,블랙,NORMAL,
2026-03-18,3,화이트,컬러,40,46,컬러,NORMAL,
